ə	a
əklɪvəti	acclivity
ækəleɪd	accolade
əkɑmədeɪt	accommodate
əkɑmədeɪʃən	accommodation
əkʌmpənimənt	accompaniment
əkɑmpləs	accomplice
əkɑmplɪʃ	accomplish
əkɔɹd	accord
əkɔɹdn̩s	accordance
əkɔɹdiən	accordion
əkɔst	accost
əkaʊnt	account
əkaʊntn̩t	accountant
əkutɚ	accoutre
əkɹɛdət	accredit
əkɹiʃən	accretion
əkɹu	accrue
əkʌlʧɚeɪʃən	acculturation
əkjumjʊleɪt	accumulate
ækjɚəsi	accuracy
ækjɚət	accurate
əkɝst	accursed
əkjuzl̩	accusal
ækjuzeɪʃən	accusation
əkjuzətɪv	accusative
əkjuz	accuse
əkjuzɚ	accuser
əkʌstəm	accustom
eɪs	ace
əsɝb	acerb
əsɝbəti	acerbity
æsətænəlaɪd	acetanilide
æsəteɪt	acetate
əsitɪk	acetic
æsətoʊn	acetone
əsɛtl̩ən	acetylene
eɪk	ache
əʧiv	achieve
ækɹəmætɪk	achromatic
æsəd	acid
əsɪdɪk	acidic
əsɪdəti	acidity
æsədoʊsəs	acidosis
əsɪʤʊləs	acidulous
æknɑləʤ	acknowledge
ækmi	acme
ækni	acne
ækəlaɪt	acolyte
ækənaɪt	aconite
eɪkɔɹn	acorn
əkustɪk	acoustic
əkweɪnt	acquaint
ækwiɛs	acquiesce
əkwaɪɹ	acquire
ækwəzɪʃən	acquisition
əkwɪzətɪv	acquisitive
əkwɪt	acquit
eɪkɚ	acre
eɪkɚɪʤ	acreage
ækɹəd	acrid
ækɹɪdəti	acridity
ækɹəmoʊniəs	acrimonious
ækɹəmoʊni	acrimony
ækɹəbæt	acrobat
ækɹəbætɪk	acrobatic
ækɹəbætɪks	acrobatics
ækɹənɪm	acronym
ækɹəfoʊbiə	acrophobia
əkɹɑpl̩əs	acropolis
əkɹɔs	across
əkɹɔstɪk	acrostic
ækt	act
æktɪnɪk	actinic
æktɪniəm	actinium
ækʃən	action
æktəveɪt	activate
æktɪv	active
æktɪvəti	activity
æktɚ	actor
ækʧul̩	actual
ækʧuæləti	actuality
ækʧul̩i	actually
ækʧuɛɹil̩	actuarial
ækʧuɛɹi	actuary
ækʧueɪt	actuate
əkjuəti	acuity
əkjumən	acumen
əkjut	acute
æd	ad
ædɪʤ	adage
ədɑʤioʊ	adagio
ædəmənt	adamant
ædəmæntin	adamantine
ədæpt	adapt
ədæptəbɪləti	adaptability
ædæpteɪʃən	adaptation
æd	add
ədɛndəm	addendum
ædɚ	adder
ædəkt	addict
ədɪkʃən	addiction
ədɪʃən	addition
ədɪʃənl̩	additional
ædətɪv	additive
ædl̩	addle
ædɹɛs	address
ædɹɛsi	addressee
ədus	adduce
ədɛpt	adept
ædɪkwət	adequate
ædhɪɹ	adhere
ædhiƷən	adhesion
ədju	adieu
ædioʊs	adios
ædəpoʊs	adipose
ædəpɑsəti	adiposity
əʤeɪsn̩t	adjacent
æʤɪktaɪvl̩	adjectival
æʤɪktɪv	adjective
əʤɔɪn	adjoin
əʤɝn	adjourn
əʤʌʤ	adjudge
əʤudɪkeɪt	adjudicate
əʤudɪkeɪʃən	adjudication
æʤʌŋkt	adjunct
æʤɚeɪʃən	adjuration
əʤʊɹ	adjure
əʤʌst	adjust
æʤətənt	adjutant
æʤəvənt	adjuvant
ædmæn	adman
ədmɪnəstɚ	administer
ədmɪnəstɹeɪtɪv	administrative
ədmɪnəstɹeɪtɚ	administrator
ædmɚəbl̩	admirable
ædmɚl̩	admiral
ædmɚeɪʃən	admiration
ədmaɪɹ	admire
ædmaɪɹɚ	admirer
ədmɪsəbl̩	admissible
ədmɪʃən	admission
ədmɪt	admit
ədmɪtn̩s	admittance
ædmɪks	admix
ædmɪksʧɚ	admixture
ædmɑnɪʃ	admonish
ædmənɪʃən	admonition
ædmɑnətoɹi	admonitory
ədu	ado
ədoʊbi	adobe
ædəlɛsn̩s	adolescence
ədɑpt	adopt
ədɑptɪv	adoptive
ədoɹəbl̩	adorable
ædɚeɪʃən	adoration
ədoɹ	adore
ədɔɹn	adorn
ədɹinl̩	adrenal
ədɹɪft	adrift
ədɹɔɪt	adroit
ædsɔɹb	adsorb
æʤəleɪʃən	adulation
ədʌlt	adult
ədʌltɚənt	adulterant
ədʌltɚeɪt	adulterate
ədʌltɚi	adultery
ədʌlthʊd	adulthood
ædəmbɹeɪt	adumbrate
ædʌmbɹeɪʃən	adumbration
ædvæns	advance
ædvæntəʤ	advantage
ædvænteɪʤəs	advantageous
ædvəntɪʃəs	adventitious
ədvɛnʧɚ	adventure
ædvɝb	adverb
ædvɝbil̩	adverbial
ædvɚsɛɹi	adversary
ədvɝsətɪv	adversative
ædvɝs	adverse
ædvɝsəti	adversity
ædvɝt	advert
ædvɚtaɪz	advertise
ædvɚtaɪzmənt	advertisement
ædvɚtaɪzɪŋ	advertising
ədvaɪs	advice
ədvaɪzəbl̩	advisable
ədvaɪz	advise
ədvaɪzmənt	advisement
ədvaɪzɚi	advisory
ædvəkeɪt	advocate
ædz	adze
iʤəs	aegis
iən	aeon
ɛɹeɪt	aerate
æɹeɪʃən	aeration
æɹil̩	aerial
æɹil̩əst	aerialist
ɛɹi	aerie
ɛɹoʊ	aero
ɛɹoʊb	aerobe
ɛɹoʊbɪk	aerobic
æɹədɹoʊm	aerodrome
æɹənɔt	aeronaut
æɹənɔtɪks	aeronautics
æɹəpleɪn	aeroplane
æɹɪsɔl	aerosol
æɹoʊspeɪs	aerospace
æɹi	aery
ɛsθit	aesthete
ɛsθɛtɪk	aesthetic
ɛstəveɪt	aestivate
ɛstəveɪʃən	aestivation
əfɑɹ	afar
æfəbɪləti	affability
æfəbl̩	affable
æfəbli	affably
əfæɹ	affair
əfɛkt	affect
æfɛkteɪʃən	affectation
əfɛkʃən	affection
æfɚənt	afferent
əfaɪəns	affiance
æfədeɪvət	affidavit
əfɪlieɪt	affiliate
əfɪnəti	affinity
əfɝm	affirm
æfɚmeɪʃən	affirmation
əfɝmətɪv	affirmative
əfɪks	affix
əfleɪtəs	afflatus
əflɪkt	afflict
æfluəns	affluence
əfoɹd	afford
əfɹeɪ	affray
əfɹaɪt	affright
əfɹʌnt	affront
æfgæn	afghan
æfgæni	afghani
əfɪʃiənɑdoʊ	aficionado
əfild	afield
əfaɪɹ	afire
əfleɪm	aflame
əfloʊt	afloat
əflʌtɚ	aflutter
əfʊt	afoot
əfɔɹmɛnʧənd	aforementioned
əfɔɹsɛd	aforesaid
əfaʊl	afoul
əfɹeɪd	afraid
əfɹɛʃ	afresh
æft	aft
æftɚ	after
æftɚbɝθ	afterbirth
æftɚmæθ	aftermath
æftɚnun	afternoon
æftɚθɔt	afterthought
æftɚwɚd	afterward
əgɛn	again
əgɛnst	against
əgeɪp	agape
ægət	agate
əgɑvi	agave
eɪʤ	age
eɪʤləs	ageless
eɪʤənsi	agency
əʤɛndə	agenda
eɪʤənt	agent
əglɑmɚeɪt	agglomerate
əglutn̩eɪt	agglutinate
əgɹændaɪz	aggrandize
əgɹændaɪzmənt	aggrandizement
ægɹəveɪt	aggravate
ægɹəveɪʃən	aggravation
ægɹɪgət	aggregate
ægɹɪgeɪʃən	aggregation
əgɹɛʃən	aggression
əgɹiv	aggrieve
əgæst	aghast
æʤl̩	agile
əʤɪləti	agility
æʤəteɪt	agitate
æʤəteɪʃən	agitation
æʤəteɪtɚ	agitator
əglim	agleam
əglɪtɚ	aglitter
əgloʊ	aglow
ægnɑstɪk	agnostic
əgoʊ	ago
əgɑg	agog
ægənaɪz	agonize
ægəni	agony
ægɚə	agora
ægɚəfoʊbiə	agoraphobia
əgɹɛɹiən	agrarian
əgɹi	agree
ægɹɪkʌlʧɚl̩	agricultural
ægɹɪkʌlʧɚ	agriculture
əgɹaʊnd	aground
eɪgju	ague
əhɛd	ahead
əhɔɪ	ahoy
eɪd	aid
eɪd	aide
eɪgɹɛt	aigrette
eɪl	ail
eɪlɚɑn	aileron
eɪlmənt	ailment
eɪm	aim
æɹ	air
æɹkɹæft	aircraft
æɹlɪft	airlift
æɹlaɪnɚ	airliner
æɹmeɪl	airmail
æɹi	airy
aɪl	aisle
əʤɑɹ	ajar
əkɪmboʊ	akimbo
əkɪn	akin
æləbæstɚ	alabaster
əlækɹəti	alacrity
əlɑɹm	alarm
ælbəkoɹ	albacore
ælbətɹɔs	albatross
ælbiət	albeit
ælbənɪzm̩	albinism
ælbaɪnoʊ	albino
ælbəm	album
ælbjumən	albumen
ælbjumən	albumin
ælkɑldi	alcalde
ælkæzɚ	alcazar
ælkɛmɪkl̩	alchemical
ælkəməst	alchemist
ælkəmi	alchemy
ælkəhɔl	alcohol
ælkəhɔlɪk	alcoholic
ælkəhɔlɪzm̩	alcoholism
ælkoʊv	alcove
ɔldɚ	alder
ɔldɚmən	alderman
eɪl	ale
əli	alee
eɪlhaʊs	alehouse
əlɛmbɪk	alembic
əlɝt	alert
ælfælfə	alfalfa
ælfɹɛskoʊ	alfresco
ælgə	alga
ælʤi	algae
ælʤəbɹə	algebra
ælʤəbɹeɪɪk	algebraic
eɪliəs	alias
æləbaɪ	alibi
eɪliən	alien
eɪliənəbl̩	alienable
eɪliəneɪʃən	alienation
eɪliənəst	alienist
əlaɪt	alight
əlaɪk	alike
æləmənt	aliment
æləmɛntɚi	alimentary
æləmoʊni	alimony
əlaɪn	aline
əlɪt	alit
əlaɪv	alive
ælkəlaɪ	alkali
ælkəlɪnɛti	alkalinity
ælkl̩ənaɪz	alkalinize
ælkəlaɪz	alkalize
ælkəlɔɪd	alkaloid
ælkəd	alkyd
ɔl	all
əleɪ	allay
ælɪgeɪʃən	allegation
əlɛʤ	allege
əlɛʤədli	allegedly
əliʤəns	allegiance
æləgɔɹɪkl̩	allegorical
æləgoɹi	allegory
əlɛgɹoʊ	allegro
æləlujə	alleluia
ælɚʤən	allergen
ælɚʤɛnɪk	allergenic
əlɝʤɪk	allergic
ælɚʤəst	allergist
ælɚʤi	allergy
əlivieɪt	alleviate
əlivieɪʃən	alleviation
æli	alley
əlaɪəns	alliance
əlaɪd	allied
æləgeɪtɚ	alligator
əlɪtɚeɪt	alliterate
əlɪtɚeɪʃən	alliteration
æləkeɪt	allocate
æləkeɪʃən	allocation
əlɑt	allot
əlaʊ	allow
ælɔɪ	alloy
ɔlspaɪs	allspice
əlud	allude
əlʊɹ	allure
əluviəm	alluvium
ælaɪ	ally
ɔlmənæk	almanac
ɔlmaɪti	almighty
ɑmənd	almond
ælmənɚ	almoner
ɔlmoʊst	almost
ɑmz	alms
æloʊ	aloe
əlɔft	aloft
əloʊhɑ	aloha
əloʊn	alone
əlɔŋ	along
əlɔŋʃoɹ	alongshore
əlɔŋsaɪd	alongside
əluf	aloof
əlaʊd	aloud
ælp	alp
ælpækə	alpaca
ælpənhɔɹn	alpenhorn
ælpənstɑk	alpenstock
ælfəbɛt	alphabet
ælfəbɛtɪk	alphabetic
ælfəbətaɪz	alphabetize
ælphɔɹn	alphorn
ælpaɪn	alpine
ɔlɹɛdi	already
ɔlsoʊ	also
ɔltɚ	altar
ɔltɚ	alter
ɔltɚeɪʃən	alteration
ɔltɚkeɪʃən	altercation
ɔltɚeɪt	alternate
ɔltɚneɪʃən	alternation
ɔltɝnətɪv	alternative
ɔlðoʊ	altho
æltɪmətɚ	altimeter
æltətud	altitude
æltoʊ	alto
ɔltəgɛðɚ	altogether
æltɹuɪzm̩	altruism
æltɹuɪstɪk	altruistic
æləm	alum
əlumənə	alumina
əlumɪnəm	aluminium
əlumənəm	aluminum
əlʌmnə	alumna
əlʌmnəs	alumnus
ɔlwəz	always
æm	am
ɑmə	amah
əmeɪn	amain
əmælgəm	amalgam
əmælgəmeɪt	amalgamate
əmænjʊɛnsəs	amanuensis
æmɚænθ	amaranth
æmɚænθən	amaranthine
æmɚɪləs	amaryllis
əmæs	amass
æməʧɝ	amateur
æməʧɝɪʃ	amateurish
æməʧɝɪzm̩	amateurism
æmətoɹi	amatory
əmeɪz	amaze
æməzɑn	amazon
æmbæsədɚ	ambassador
æmbɚ	amber
æmbɚgɹɪs	ambergris
æmbɪdɛkstɹəs	ambidextrous
æmbiənt	ambient
æmbəgjuəti	ambiguity
æmbɪgjuəs	ambiguous
æmbɪʃən	ambition
æmbɪʃəs	ambitious
æmbɪvl̩əns	ambivalence
æmbl̩	amble
æmbɹoʊƷə	ambrosia
æmbjʊləns	ambulance
æmbjʊlətoɹi	ambulatory
æmbəskeɪd	ambuscade
æmbʊʃ	ambush
əmiliɚeɪt	ameliorate
eɪmɛn	amen
əmɛnəbl̩	amenable
əmɛnd	amend
əmɛndmənt	amendment
əmɛndz	amends
əmɛnəti	amenity
əmɝs	amerce
əmɛɹəkənaɪz	americanize
æmɚɪsiəm	americium
æməθəst	amethyst
eɪmiəbɪləti	amiability
eɪmiəbl̩	amiable
eɪmiəbli	amiably
æmɪkəbl̩	amicable
əmɪd	amid
əmɪs	amiss
æməti	amity
æmitɚ	ammeter
æmoʊ	ammo
əmoʊnjə	ammonia
æmənaɪt	ammonite
æmjunɪʃən	ammunition
æmniƷə	amnesia
æmnəsti	amnesty
əmibə	amoeba
əmʌk	amok
əmʌŋ	among
əmɑntəlɑdoʊ	amontillado
eɪmɔɹl̩	amoral
æmɚəs	amorous
əmɔɹfəs	amorphous
æmɚtəzeɪʃən	amortization
æmɚtaɪz	amortize
əmaʊnt	amount
əmʊɹ	amour
æmpɪɹ	ampere
æmpɚsænd	ampersand
æmfɪbiən	amphibian
æmfəθiətɚ	amphitheater
æmfɚə	amphora
æmpl̩	ample
æmpləfəkeɪʃən	amplification
æmpləfaɪɚ	amplifier
æmpləfaɪ	amplify
æmplətud	amplitude
æmpjul	ampoule
æmpjuteɪt	amputate
æmpjuteɪʃən	amputation
æmpjuti	amputee
æmjʊlət	amulet
əmjuz	amuse
æn	an
ənækɹənɪzm̩	anachronism
ənækɹənɪstɪk	anachronistic
ænəkɑndə	anaconda
ænədɛm	anadem
ænɚoʊbɪk	anaerobic
ænəgɹæm	anagram
eɪnl̩	anal
ænl̩ʤiƷə	analgesia
ænəlɔg	analog
ænəlɑʤɪkl̩	analogical
ənæləgəs	analogous
ənæləsəs	analysis
ænl̩əst	analyst
ænəlɪtɪk	analytic
ænəlaɪz	analyze
ænəpɛst	anapest
ænəpɛstɪk	anapestic
ænɑɹkɪk	anarchic
ænɚkɪzm̩	anarchism
ænɚkɪstɪk	anarchistic
ænɚki	anarchy
ənæθəmə	anathema
ænətɑmɪk	anatomic
ənætəməst	anatomist
ənætəmaɪz	anatomize
ənætəmi	anatomy
ænsɛstɚ	ancestor
ænsɛstɹl̩	ancestral
æŋkɚ	anchor
æŋkɚɪʤ	anchorage
æŋkɚaɪt	anchorite
ænʧoʊvi	anchovy
eɪnʃənt	ancient
ænsəlɛɹi	ancillary
ænd	and
ɑndɑnteɪ	andante
ændaɪɹn	andiron
ændɹəʤən	androgen
ænɪkdoʊt	anecdote
ənimiə	anemia
ænəmɑmətɚ	anemometer
ənɛməni	anemone
ənɛnt	anent
ænəsθiƷə	anesthesia
ənɛsθətəst	anesthetist
ənu	anew
eɪnʤl̩	angel
ænʤɛlɪk	angelic
æŋgɚ	anger
ænʤaɪnə	angina
æŋgl̩	angle
æŋgl̩wɝm	angleworm
æŋgləsəzeɪʃən	anglicization
æŋgləsaɪz	anglicize
æŋgloʊfaɪl	anglophile
æŋgoɹə	angora
æŋgɹi	angry
ɑŋst	angst
æŋgwɪʃ	anguish
æŋgjʊlɚ	angular
æŋgjʊlæɹəti	angularity
ænhaɪdɹəs	anhydrous
ænl̩ən	aniline
ænəmædvɝt	animadvert
ænəml̩	animal
ænəmælkjul	animalcule
ænəməlɪzm̩	animalism
ænəmeɪt	animate
ænəmeɪʃən	animation
ænəmɪzm̩	animism
ænəmɪstɪk	animistic
ænəmɑsəti	animosity
ænəməs	animus
ænəs	anise
æŋk	ankh
æŋkl̩	ankle
æŋklət	anklet
ænl̩z	annals
ənil	anneal
ənɛks	annex
ænɛkseɪʃən	annexation
ənaɪəleɪt	annihilate
ænəvɝsɚi	anniversary
ænəteɪt	annotate
ænəteɪʃən	annotation
ænəteɪtɚ	annotator
ənaʊns	announce
ənɔɪ	annoy
ænjul̩	annual
ənuətn̩t	annuitant
ənuəti	annuity
ənʌl	annul
ænjʊlɚ	annular
ənʌnsieɪt	annunciate
ənʌnsieɪʃən	annunciation
ænoʊd	anode
ænɑdɪk	anodic
ænədaɪn	anodyne
ənɔɪnt	anoint
ənɑml̩əs	anomalous
ənɑməli	anomaly
ənɑn	anon
ænənɪməti	anonymity
ənɑnəməs	anonymous
ənɑnəməsli	anonymously
ənɑfəliz	anopheles
ənʌðɚ	another
ænsɚ	answer
ænsɚəbl̩	answerable
ænt	ant
æntæsəd	antacid
æntægənɪzm̩	antagonism
æntægənəst	antagonist
æntɑɹktɪk	antarctic
ænti	ante
æntibɛlm̩	antebellum
æntəsidn̩t	antecedent
æntiʧeɪmbɚ	antechamber
æntidəluviən	antediluvian
æntəloʊp	antelope
æntɛnə	antenna
æntɪpinʌlt	antepenult
æntɪɹiɚ	anterior
æntiɹum	anteroom
ænθəm	anthem
ænθɚ	anther
ænthɪl	anthill
ænθɑləʤi	anthology
ænθɹəsaɪt	anthracite
ænθɹæks	anthrax
ænθɹəpoʊsɛntɹɪk	anthropocentric
ænθɹəpɔɪd	anthropoid
ænθɹəpɑləʤi	anthropology
ænθɹoʊpəmɔɹfɪzm̩	anthropomorphism
æntaɪ	anti
æntɪbaɪɑtɪk	antibiotic
æntɪbɑdi	antibody
æntɪk	antic
æntikɹaɪst	antichrist
æntɪsəpeɪt	anticipate
æntɪklaɪmæks	anticlimax
æntɪdoʊt	antidote
æntɪhɪstəmin	antihistamine
æntɪnɑk	antiknock
æntɪlɔgɚɪðm̩	antilogarithm
æntɪməkæsɚ	antimacassar
æntəmoʊni	antimony
æntɪpæstoʊ	antipasto
æntɪpəθi	antipathy
æntipɝsn̩ɛl	antipersonnel
æntɪfənl̩	antiphonal
æntɪpədiz	antipodes
æntəkwɛɹiən	antiquarian
æntəkwɛɹi	antiquary
æntəkweɪtəd	antiquated
æntik	antique
æntɪkwəti	antiquity
æntəsɛptɪk	antiseptic
æntɪsoʊʃl̩	antisocial
æntɪθəsəs	antithesis
æntɪtɑksən	antitoxin
æntɪvɪvəsɛkʃənəst	antivivisectionist
æntlɚ	antler
æntənɪm	antonym
æntɹəm	antrum
eɪnəs	anus
ænvl̩	anvil
æŋzaɪəti	anxiety
æŋʃəs	anxious
ɛni	any
ɛnimoɹ	anymore
ɛniwʌn	anyone
ɛniweɪ	anyway
eɪɔɹtə	aorta
əpeɪs	apace
əpɑɹt	apart
əpɑɹteɪt	apartheid
əpɑɹtmənt	apartment
æpəθɛtɪk	apathetic
æpəθi	apathy
eɪp	ape
əpik	apeak
ɑpɛɹətif	aperitif
æpɚʧɝ	aperture
eɪpɛks	apex
əfeɪƷə	aphasia
eɪfəd	aphid
eɪfədiz	aphides
eɪfəs	aphis
æfɚɪzm̩	aphorism
æfɚɪstɪk	aphoristic
æfɹədiziæk	aphrodisiac
eɪpiɛɹi	apiary
eɪpəsiz	apices
əpis	apiece
əplʌm	aplomb
əpɑkəlɪps	apocalypse
əpɑkɹəfə	apocrypha
æpəʤi	apogee
əpɑləʤɛtɪk	apologetic
æpəloʊʤiə	apologia
əpɑləʤaɪz	apologize
æpəplɛktɪk	apoplectic
æpəplɛksi	apoplexy
əpoɹt	aport
əpɑstəsi	apostasy
əpɑsteɪt	apostate
əpɑsl̩	apostle
æpəstɑlɪk	apostolic
əpɑstɹəfi	apostrophe
əpɑθəkɛɹi	apothecary
æpəθɛm	apothegm
əpɑθioʊsəs	apotheosis
əpɔl	appal
æpənɪʤ	appanage
æpɚætəs	apparatus
əpæɹl̩	apparel
əpæɹənt	apparent
æpɚɪʃən	apparition
əpil	appeal
əpɪɹ	appear
əpɪɹəns	appearance
əpiz	appease
əpɛlənt	appellant
əpɛlət	appellate
æpəleɪʃən	appellation
æpəli	appellee
əpɛnd	append
əpɛndɪʤ	appendage
æpəndɛktəmi	appendectomy
əpɛndəsaɪtəs	appendicitis
əpɛndɪks	appendix
æpɚteɪn	appertain
æpətaɪt	appetite
æpətaɪzɚ	appetizer
əplɔd	applaud
əplɔz	applause
æpl̩	apple
əplaɪəns	appliance
æplɪkəbɪləti	applicability
æplɪkəbl̩	applicable
æplɪkənt	applicant
æpləkeɪʃən	application
æpləkeɪtɚ	applicator
əplaɪd	applied
æpləkeɪ	applique
əplaɪ	apply
əpɔɪnt	appoint
əpɔɪnti	appointee
əpɔɪntɪv	appointive
əpɔɪntmənt	appointment
əpoɹʃən	apportion
æpəzət	apposite
æpəzɪʃən	apposition
əpɑzətɪv	appositive
əpɹeɪz	appraise
əpɹiʃəbl̩	appreciable
əpɹiʃieɪt	appreciate
əpɹiʃətɪv	appreciative
æpɹɛhɛnd	apprehend
æpɹɪhɛnsɪv	apprehensive
əpɹɛntəs	apprentice
əpɹaɪz	apprize
əpɹoʊʧ	approach
æpɹəbeɪʃən	approbation
əpɹoʊpɹiət	appropriate
əpɹoʊpɹieɪʃən	appropriation
əpɹuvl̩	approval
əpɹuv	approve
əpɹɑksəmət	approximate
əpɹɑksəmeɪʃən	approximation
əpɝtənəns	appurtenance
æpɹəkɑt	apricot
eɪpɹən	apron
æpɹəpoʊ	apropos
æps	apse
æpt	apt
æptətud	aptitude
ækwəkeɪd	aquacade
ækwəlʌŋ	aqualung
ækwəmɚin	aquamarine
ækwəpleɪn	aquaplane
əkwæɹiəm	aquarium
əkwɑtɪk	aquatic
ækwədʌkt	aqueduct
eɪkwiəs	aqueous
ækwəlaɪn	aquiline
æɹəbɛsk	arabesque
æɹəbl̩	arable
ɑɹbl̩əst	arbalist
ɑɹbətɚ	arbiter
ɑɹbɪtɹəmənt	arbitrament
ɑɹbətɹɛɹəli	arbitrarily
ɑɹbətɹɛɹinəs	arbitrariness
ɑɹbətɹɛɹi	arbitrary
ɑɹbətɹeɪt	arbitrate
ɑɹbətɹeɪʃən	arbitration
ɑɹbətɹeɪtɚ	arbitrator
ɑɹbɚ	arbor
ɑɹboɹil̩	arboreal
ɑɹbɚitm̩	arboretum
ɑɹbɚvaɪti	arborvitae
ɑɹbjutəs	arbutus
ɑɹk	arc
ɑɹkeɪd	arcade
ɑɹkeɪn	arcane
ɑɹʧ	arch
ɑɹkiɑləʤi	archaeology
ɑɹkeɪɪk	archaic
ɑɹkeɪnʤl̩	archangel
ɑɹʧbɪʃəp	archbishop
ɑɹʧduk	archduke
ɑɹʧɛnəmi	archenemy
ɑɹʧɚ	archer
ɑɹʧɚi	archery
ɑɹkɪtaɪp	archetype
ɑɹʧfind	archfiend
ɑɹkiəpɪskəpɛl	archiepiscopal
ɑɹkəmændɹaɪt	archimandrite
ɑɹkəpɛləgoʊ	archipelago
ɑɹkətɛkt	architect
ɑɹkətɛktɑnɪk	architectonic
ɑɹkətɛkʧɚl̩	architectural
ɑɹkətɛkʧɚ	architecture
ɑɹkətɹeɪv	architrave
ɑɹkaɪv	archive
ɑɹkəvəst	archivist
ɑɹkɑn	archon
ɑɹʧweɪ	archway
ɑɹktɪk	arctic
ɑɹdn̩t	ardent
ɑɹdɚ	ardor
ɑɹʤuəs	arduous
ɑɹ	are
æɹiə	area
əɹinə	arena
ɑɹʤənt	argent
ɑɹʤəntaɪn	argentine
ɑɹgɑn	argon
ɑɹgəsi	argosy
ɑɹgoʊ	argot
ɑɹgjuəbl̩	arguable
ɑɹgju	argue
ɑɹgjumənteɪʃən	argumentation
ɑɹgjumɛntətəv	argumentative
ɑɹgaɪl	argyle
ɑɹiə	aria
æɹəd	arid
æɹɪdəti	aridity
əɹaɪt	aright
əɹaɪz	arise
æɹəstɑkɹəsi	aristocracy
əɹɪstəkɹæt	aristocrat
əɹɪstəkɹætɪk	aristocratic
əɹɪθmətɪk	arithmetic
æɹɪθmɛtɪkl̩	arithmetical
əɹɪθmətɪʃən	arithmetician
ɑɹk	ark
ɑɹm	arm
ɑɹmɑdə	armada
ɑɹmədɪloʊ	armadillo
ɑɹməmənt	armament
ɑɹməʧʊɹ	armature
ɑɹmʧɛɹ	armchair
ɑɹmhoʊl	armhole
ɑɹməstəs	armistice
ɑɹmlət	armlet
ɑɹmɚ	armor
ɑɹmoɹil̩	armorial
ɑɹmɚi	armory
ɑɹmpɪt	armpit
ɑɹmi	army
ɑɹnɪkə	arnica
əɹoʊmə	aroma
